dist_mpc,vel_kms
96.4000015258789,6557.0
117.5,7847.0
52.0,4113.0
58.29999923706055,4528.0
116.69999694824219,7989.0
132.39999389648438,9736.0
97.30000305175781,7342.0
159.8000030517578,11134.0
141.89999389648438,11567.0
90.80000305175781,6459.0
26.299999237060547,2088.0
87.5,6288.0
38.70000076293945,3472.0
81.69999694824219,5395.0
161.39999389648438,10947.0
114.0,7986.0
125.19999694824219,6974.0
103.30000305175781,8277.0
156.3000030517578,14548.0
87.9000015258789,7375.0
79.0999984741211,4980.0
168.3000030517578,12556.0
31.200000762939453,3323.0
116.9000015258789,7823.0
58.20000076293945,5020.0
125.0,12003.0
114.5999984741211,8978.0
187.10000610351562,10040.0
83.9000015258789,5204.0
48.5,4603.0
36.29999923706055,3047.0
114.30000305175781,6692.0
54.0,4818.0
156.3000030517578,11480.0
64.5999984741211,3395.0
166.0,14148.0
121.30000305175781,7895.0
104.69999694824219,6627.0
121.9000015258789,4780.0
67.0,4970.0
61.099998474121094,5538.0
98.5999984741211,6572.0
116.4000015258789,8363.0
145.1999969482422,12080.0
104.69999694824219,7831.0
61.79999923706055,5014.0
81.5,5962.0
78.69999694824219,6354.0
49.70000076293945,5347.0
187.89999389648438,12432.0
86.69999694824219,5788.0
157.8000030517578,10998.0
98.5999984741211,8829.0
124.19999694824219,12171.0
20.0,1487.0
130.60000610351562,11658.0
113.80000305175781,9237.0
143.89999389648438,10839.0
95.0999984741211,7221.0
164.8000030517578,14188.0
108.0999984741211,7983.0
116.9000015258789,9020.0
162.1999969482422,7851.0
121.9000015258789,9339.0
92.0,7481.0
152.10000610351562,10861.0
85.0999984741211,7641.0
133.0,13445.0
148.8000030517578,15625.0
19.5,2291.0
23.100000381469727,1480.0
50.400001525878906,5588.0
18.399999618530273,1249.0
32.400001525878906,2940.0
135.5,15860.0
36.5,3132.0
20.899999618530273,1346.0
56.20000076293945,4989.0
173.8000030517578,15530.0
21.200000762939453,1637.0
48.29999923706055,4551.0
107.5999984741211,8368.0
80.19999694824219,5784.0
108.9000015258789,8922.0
62.79999923706055,4522.0
82.4000015258789,4982.0
176.1999969482422,12462.0
121.9000015258789,6733.0
137.39999389648438,11008.0
123.5999984741211,9063.0
61.099998474121094,5265.0
121.30000305175781,13220.0
93.80000305175781,7876.0
176.1999969482422,13115.0
89.0999984741211,6371.0
60.79999923706055,4898.0
92.9000015258789,6033.0
79.4000015258789,5046.0
193.1999969482422,11411.0
157.8000030517578,10457.0
92.9000015258789,7095.0
43.29999923706055,3353.0
165.1999969482422,9774.0
187.10000610351562,10739.0
134.3000030517578,8568.0
62.20000076293945,6738.0
